ALPHA_3_CODE,IsscaapGrp_mapping,Name_En,Scientific_Name,Name_Cn,Troph,Troph.SE,SL.max,DATA.SOURCE,FOOD.ITEM
AAA,21,Adriatic sturgeon,Acipenser naccarii,亚德里亚鲟(纳氏鲟),3.35,0.5,164,FishBase_ISSCAAP,Demersal fish
AAB,33,Twobar seabream,Acanthopagrus bifasciatus,双线刺鲷,3.39,0.43,43.21,FishBase_ISSCAAP,Demersal fish
AAC,13,Bowfin,Amia calva,,3.81,0.67,89.38,FishBase_ISSCAAP,Freshwater fish
ABF,52,Red abalone,Haliotis rufescens,红鲍,2.1,0.13,NA,FishBase_ISSCAAP,"Molluscs, other"
ABG,52,Giant abalone,Haliotis gigantea,,2.1,0.13,NA,FishBase_ISSCAAP,"Molluscs, other"
ABK,11,White bream,Blicca bjoerkna,,3.07,0.37,27.36,FishBase_ISSCAAP,Freshwater fish
ABP,52,Perlemoen abalone,Haliotis midae,,2.1,0.13,NA,FishBase_ISSCAAP,"Molluscs, other"
ABR,52,Blacklip abalone,Haliotis rubra,黑唇鲍,2.1,0.13,NA,FishBase_ISSCAAP,"Molluscs, other"
ABS,45,Northern brown shrimp,Penaeus aztecus,,2.8,0.46,NA,FishBase_ISSCAAP,Crustaceans
ABX,52,Abalones nei,Haliotis spp,,2.1,0.13,NA,FishBase_ISSCAAP,"Molluscs, other"
ABZ,33,Small sandeel,Ammodytes tobianus,小玉筋鱼,3.1,NA,NA,SeaAroundUs,Demersal fish
ACB,56,Inflated ark,Scapharca broughtonii,魁蚶,2.1,0.13,NA,FishBase_ISSCAAP,"Molluscs, other"
ACC,13,Ruffe,Gymnocephalus cernua,,3.35,0.31,20.5,FishBase_ISSCAAP,Freshwater fish
ACH,23,Arctic char,Salvelinus alpinus,,4.26,0.75,84.64,FishBase_ISSCAAP,Pelagic fish
AEB,13,,Alestes baremoze,,3.05,0.35,35.26,FishBase_ISSCAAP,Freshwater fish
AES,45,Aesop shrimp,Pandalus montagui,,2.3,0.24,NA,FishBase_ISSCAAP,Crustaceans
AFK,33,African forktail snapper,Apsilus fuscus,叉尾丝鳍笛鲷,3.99,0.584,61.5,FishBase_ISSCAAP,Demersal fish
AFQ,56,Pipi wedge clam,Paphies australis,,2,NA,NA,SeaAroundUs,"Molluscs, other"
AGN,38,Angelshark,Squatina squatina,,4.05,0.64,200.08,FishBase_ISSCAAP,Demersal fish
AGR,13,Freshwater drum,Aplodinotus grunniens,,3.36,0.43,78.46,FishBase_ISSCAAP,Freshwater fish
AGS,35,Spotted sardinella,Amblygaster sirm,斑点钝腹鲱,3.3,0.42,27,FishBase_ISSCAAP,Pelagic fish
AHT,11,Kinneret bleak,Acanthobrama terraesanctae,,3,0,21.4,FishBase_ISSCAAP,Freshwater fish
AIB,33,Glassfishes,Ambassidae,,3.55,0.11,8.839,FishBase_ISSCAAP,Demersal fish
AKS,45,Akiami paste shrimp,Acetes japonicus,,2.7,0.35,NA,FishBase_ISSCAAP,Crustaceans
AKX,56,,Paphies spp,,2,NA,NA,SeaAroundUs,"Molluscs, other"
ALA,37,Alexandria pompano,Alectis alexandrina,,3.6,0.59,82,FishBase_ISSCAAP,Pelagic fish
ALB,36,Albacore,Thunnus alalunga,,4.31,0.73,135.93,FishBase_ISSCAAP,Pelagic fish
ALC,34,Baird's slickhead,Alepocephalus bairdii,,3.69,0.54,100,FishBase_ISSCAAP,Demersal fish
ALE,24,Alewife,Alosa pseudoharengus,,3.51,0.48,40,FishBase_ISSCAAP,Pelagic fish
ALF,34,Alfonsinos nei,Beryx spp,,4.26,0.12,66,FishBase_ISSCAAP,Demersal fish
ALK,32,Alaska pollock(=Walleye poll.),Gadus chalcogrammus,狭鳕,3.45,0.49,75.71,FishBase_ISSCAAP,Demersal fish
ALL,34,Warty dory,Allocyttus verrucosus,,4.19,NA,NA,FishBase,Demersal fish
ALP,31,Alaska plaice,Pleuronectes quadrituberculatus,,3.1,0.3,50.84,FishBase_ISSCAAP,Demersal fish
ALR,11,Bleak,Alburnus alburnus,,3.01,0.18,21.88,FishBase_ISSCAAP,Freshwater fish
ALV,38,Thresher,Alopias vulpinus,狐形长尾鲨,4.5,0.79,623.2,FishBase_ISSCAAP,Pelagic fish
AMB,37,Greater amberjack,Seriola dumerili,杜氏鰤(高体鰤),4.5,0.8,155.8,FishBase_ISSCAAP,Pelagic fish
AMJ,37,Japanese amberjack,Seriola quinqueradiata,五条鰤,3.96,0.65,123,FishBase_ISSCAAP,Pelagic fish
AMS,47,Brine shrimp,Artemia salina,,2.6,0.3,NA,FishBase_ISSCAAP,Crustaceans
AMX,37,Amberjacks nei,Seriola spp,,4.34,0.07,125,FishBase_ISSCAAP,Pelagic fish
ANA,35,Argentine anchovy,Engraulis anchoita,,2.51,0,17,FishBase_ISSCAAP,Pelagic fish
ANC,35,Southern African anchovy,Engraulis capensis,,2.84,0.31,17,FishBase_ISSCAAP,Pelagic fish
ANE,35,European anchovy,Engraulis encrasicolus,,3.11,0.45,20,FishBase_ISSCAAP,Pelagic fish
ANF,34,Anglerfishes nei,Lophiidae,,4.43,0.06,110,FishBase_ISSCAAP,Demersal fish
ANG,34,American angler,Lophius americanus,,4.5,0.74,101.99,FishBase_ISSCAAP,Demersal fish
ANI,34,Mackerel icefish,Champsocephalus gunnari,,3.23,0.43,54.12,FishBase_ISSCAAP,Demersal fish
ANK,34,Blackbellied angler,Lophius budegassa,,4.48,0.76,100,FishBase_ISSCAAP,Demersal fish
ANN,33,Annular seabream,Diplodus annularis,,3.4,0.44,21.19,FishBase_ISSCAAP,Demersal fish
ANR,24,Atlantic sabretooth anchovy,Lycengraulis grossidens,,3.64,0.55,23.5,FishBase_ISSCAAP,Pelagic fish
ANS,33,Antarctic silverfish,Pleuragramma antarctica,,3,0,22.48,FishBase_ISSCAAP,Demersal fish
ANT,32,Blue antimora,Antimora rostrata,,3.58,0.47,75,FishBase_ISSCAAP,Demersal fish
ANX,35,"Anchovies, etc. nei",Engraulidae,,3.28,0.04,17,FishBase_ISSCAAP,Pelagic fish
APB,21,Siberian sturgeon,Acipenser baerii,西伯利亚鲟,3.22,0.385,164,FishBase_ISSCAAP,Freshwater fish
APE,21,Starry sturgeon,Acipenser stellatus,闪光鲟,3.1,0.3,180.4,FishBase_ISSCAAP,Demersal fish
APG,21,Danube sturgeon(=Osetr),Acipenser gueldenstaedtii,俄罗斯鲟,3.11,0.3,192.7,FishBase_ISSCAAP,Demersal fish
APH,34,Intermediate scabbardfish,Aphanopus intermedius,中间等鳍叉尾带鱼,4.11,NA,NA,SeaAroundUs,Demersal fish
APN,21,White sturgeon,Acipenser transmontanus,高首鲟,3.22,0.44,500.2,FishBase_ISSCAAP,Demersal fish
APO,33,"Cardinalfishes, etc. nei",Apogonidae,,3.46,0.04,8,FishBase_ISSCAAP,Demersal fish
APS,45,Northern pink shrimp,Penaeus duorarum,,3,0.35,NA,FishBase_ISSCAAP,Crustaceans
AQK,12,,Caquetaia kraussii,,3.36,NA,NA,FishBase,Freshwater fish
ARA,45,Blue and red shrimp,Aristeus antennatus,,2.3,0.24,NA,FishBase_ISSCAAP,Crustaceans
ARF,31,Arrowtooth flounder,Atheresthes stomias,,4.26,0.75,68.88,FishBase_ISSCAAP,Demersal fish
ARG,34,Argentines,Argentina spp,,3.43,0.07,36,FishBase_ISSCAAP,Demersal fish
ARI,45,Aristeid shrimps nei,Aristeidae,,2.3,0.24,NA,FishBase_ISSCAAP,Crustaceans
ARK,56,Ark clams nei,Arca spp,,2.1,0.13,NA,FishBase_ISSCAAP,"Molluscs, other"
ARP,13,Arapaima,Arapaima gigas,巨骨舌鱼,4.5,0.8,369,FishBase_ISSCAAP,Freshwater fish
ARQ,33,Rusty jobfish,Aphareus rutilans,红叉尾鲷,4.11,0.57,88.83,FishBase_ISSCAAP,Demersal fish
ARS,45,Giant red shrimp,Aristaeomorpha foliacea,,2.3,NA,NA,SeaAroundUs,Crustaceans
ARU,34,Greater argentine,Argentina silus,,3.31,0.28,70,FishBase_ISSCAAP,Demersal fish
ARV,45,Striped red shrimp,Aristeus varidens,,2.3,0.24,NA,FishBase_ISSCAAP,Crustaceans
ARY,34,Argentine,Argentina sphyraena,,3.62,0.52,35,FishBase_ISSCAAP,Demersal fish
ASA,33,Australian salmon,Arripis trutta,,4.07,0.69,72.09,FishBase_ISSCAAP,Demersal fish
ASD,24,Allis shad,Alosa alosa,,3.62,0.53,71.38,FishBase_ISSCAAP,Pelagic fish
ASH,45,Argentine stiletto shrimp,Artemesia longinaris,,2.7,0.35,NA,FishBase_ISSCAAP,Crustaceans
ASK,38,"Angelsharks, sand devils nei",Squatinidae,,4.05,0.07,150,FishBase_ISSCAAP,Pelagic fish
ASP,24,Caspian shads,Caspialosa spp,,3.25,0,16,FishBase_ISSCAAP,Pelagic fish
AST,12,Velvety cichlids,Astronotus spp,,2.83,0,33,FishBase_ISSCAAP,Freshwater fish
ASU,11,Asp,Aspius aspius,,4.47,0.8,82,FishBase_ISSCAAP,Freshwater fish
ATB,37,Big-scale sand smelt,Atherina boyeri,银带真银汉鱼,2.32,0.26,16.4,FishBase_ISSCAAP,Pelagic fish
ATK,33,Okhotsk atka mackerel,Pleurogrammus azonus,远东多线鱼,3.58,0.48,50.84,FishBase_ISSCAAP,Demersal fish
AUB,13,,Auchenoglanis biscutatus,,3.08,NA,NA,FishBase,Freshwater fish
AUO,13,Bubu,Auchenoglanis occidentalis,,2.9,0.33,70,FishBase_ISSCAAP,Freshwater fish
